session_id,window_id,timestamp_trigger,timestamp_order_sent,timestamp_confirmed,side,strike_price,hl_price_at_trigger,gap_value,gap_threshold_used,atr_regime,cvd_60s,cvd_threshold_used,cvd_threshold_pct,velocity,entry_odds,odds_in_sweet_spot,spread_pct,expected_odds,mispricing_delta,slippage_delta,slippage_threshold_used,blockchain_latency_ms,shares_bought,cost_usdc,result,resolution_price,payout_usdc,pnl_usdc,claim_method,claim_timestamp,mode,bot_version
SES-1776805059,btc-updown-5m-1776827100,2026-04-22 03:06:21.003954+00:00,2026-04-22 03:06:21.004039+00:00,2026-04-22 03:06:21.004056+00:00,UP,0.4,77582.5,-46.486919999995735,10.0,HIGH,-480162.80682985054,193623.57380951336,0.0,0.5,0.4,True,0.0,0.4,0.0,0.0,0.0,0,2.0,0.8,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776827100,2026-04-22 03:06:30.035705+00:00,2026-04-22 03:06:30.035730+00:00,2026-04-22 03:06:30.035737+00:00,DOWN,0.34,77634.0,5.0130800000042655,10.0,HIGH,-1324101.6706998502,137724.36191801337,0.0,0.5,0.34,True,0.0,0.34,0.0,0.0,0.0,0,2.0,0.68,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776827400,2026-04-22 03:11:00.207988+00:00,2026-04-22 03:11:00.208059+00:00,2026-04-22 03:11:00.208068+00:00,UP,0.01,77554.0,-52.57818903999578,10.0,HIGH,-292105.9270498611,92768.90420351338,0.0,0.0,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776827400,2026-04-22 03:11:28.535526+00:00,2026-04-22 03:11:28.535561+00:00,2026-04-22 03:11:28.535576+00:00,DOWN,0.01,77588.5,-18.078189039995777,10.0,HIGH,334502.4543101387,72068.48668051341,0.0,-0.5,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776827700,2026-04-22 03:16:00.544507+00:00,2026-04-22 03:16:00.544571+00:00,2026-04-22 03:16:00.544589+00:00,UP,0.28,77504.5,-110.43600000000151,10.0,HIGH,-847334.0121598622,71751.95593801366,0.0,-1.5,0.28,True,0.0,0.28,0.0,0.0,0.0,0,2.0,0.56,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776827700,2026-04-22 03:16:04.156441+00:00,2026-04-22 03:16:04.156469+00:00,2026-04-22 03:16:04.156477+00:00,DOWN,0.28,77504.5,-110.43600000000151,10.0,HIGH,-413761.10101986193,47888.76252501368,0.0,-0.5,0.28,True,0.0,0.28,0.0,0.0,0.0,0,2.0,0.56,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776828000,2026-04-22 03:21:00.246746+00:00,2026-04-22 03:21:00.246786+00:00,2026-04-22 03:21:00.246794+00:00,UP,0.001,77395.5,-78.69641591999971,10.0,HIGH,1181261.305080143,114505.45202401436,0.0,0.0,0.001,True,0.0,0.001,0.0,0.0,0.0,0,2.0,0.002,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776828300,2026-04-22 03:26:00.116786+00:00,2026-04-22 03:26:00.116911+00:00,2026-04-22 03:26:00.116921+00:00,UP,0.31,77487.5,-76.37900000000081,10.0,HIGH,1796909.8432701388,113492.8025235144,0.0,0.0,0.31,True,0.0,0.31,0.0,0.0,0.0,0,2.0,0.62,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776828300,2026-04-22 03:26:03.731514+00:00,2026-04-22 03:26:03.731544+00:00,2026-04-22 03:26:03.731577+00:00,DOWN,0.22,77520.0,-43.879000000000815,10.0,HIGH,1353917.122560139,92699.1544530144,0.0,20.0,0.22,True,0.0,0.22,0.0,0.0,0.0,0,2.0,0.44,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776828600,2026-04-22 03:31:00.246774+00:00,2026-04-22 03:31:00.246850+00:00,2026-04-22 03:31:00.246862+00:00,UP,0.01,77405.5,-49.138000000006286,10.0,HIGH,-1521029.177379859,89736.23916501444,0.0,0.5,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
