session_id,window_id,timestamp,t_remaining_sec,strike_price,hl_price,gap,gap_direction,atr_60m,atr_regime,cvd_60s,cvd_aligned,avg_volume_per_min,poly_up_odds,poly_down_odds,poly_up_ask_depth,poly_down_bid_depth,spread_pct,dual_side_ok,chainlink_age_sec,bot_mode,all_gates_pass,window_result
2026-04-19-143957,btc-updown-5m-1776609600,2026-04-19 14:44:43.602,17,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,6,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609600,2026-04-19 14:44:48.612,12,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,6,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609600,2026-04-19 14:44:53.643,7,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,19,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609600,2026-04-19 14:44:58.665,2,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,19,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:45:03.675,297,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,32,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:45:08.681,292,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,32,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:45:13.697,287,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,7,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:45:18.720,282,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:45:23.740,277,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:45:28.760,272,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:45:33.778,267,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:45:38.790,262,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:45:43.801,257,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:45:48.816,252,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:45:53.830,247,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,15,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:45:58.840,242,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,22,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:46:03.852,237,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,22,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:46:08.865,232,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,32,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:46:13.886,227,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,1,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:46:18.900,222,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,8,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:46:23.912,217,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,11,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:46:28.946,212,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,17,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:46:33.957,207,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,21,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:46:38.982,202,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,27,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:46:44.001,196,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,30,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:46:49.021,191,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,6,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:46:54.036,186,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,10,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:46:59.051,181,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,15,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:47:04.057,176,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,15,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:47:09.072,171,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,24,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:47:14.093,166,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,31,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:47:19.114,161,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,0,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:47:24.131,156,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,7,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:47:29.145,151,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,11,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:47:34.161,146,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,14,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:47:39.175,141,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,18,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:47:44.195,136,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,25,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:47:49.235,131,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,31,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:47:54.250,126,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,2,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:47:59.271,121,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,9,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:48:04.285,116,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,16,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:48:09.295,111,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,19,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:48:14.312,106,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,23,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:48:19.325,101,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,30,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:48:24.340,96,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,30,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:48:29.360,91,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,2,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:48:34.377,86,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,9,INIT,False,
